trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.95551185454465,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.37121122389766,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.70148129539567,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.7674584349029,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.5063216617547,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.4767685576151,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.6563356660501,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.54338647090239,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.64172694245059,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.71124401704799,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.4683017814717,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.41799659536757,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 1.0}",20,5,-39.60398509159941,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.40784301148913,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.86078681364668,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.19958238379668,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.91927705116042,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 1.0}",35,0,-202.9764572097316,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.57140879886785,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.87774251134896,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
79,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.573460063976206,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.8062381341945,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.275378556066784,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.39175284225873,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.7761145524833,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.45132395304542,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 1.0}",20,10,-57.2371472994311,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 1.0}",20,5,-122.0902626557732,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 2}",1
87,False,"{'a': 0.5, 'e': 1.0}",25,12,-69.6550177158838,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.23021276184487,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.24011512164304,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
90,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.29674400157313,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.25629230008134,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.9433205690314,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.493560497855,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.88554174707608,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.46585885493236,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.2399955768466,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.55015945551094,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
98,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.12693567096246,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 1.0}",25,11,8.341230680130828,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
