trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
296,False,"{'a': 0.3102105137978422, 'e': 0.051052568989210935}",25,16,13.886917308830531,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.3101084086598638, 'e': 0.05054204329931883}",30,10,36.592583556255384,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.31000732457326513, 'e': 0.05003662286632564}",20,5,2.9095015418686456,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
299,False,"{'a': 0.30990725132753244, 'e': 0.04953625663766238}",25,1,29.901069064854223,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.30980817881425715, 'e': 0.04904089407128576}",30,20,17.74243108296275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.3097100970261146, 'e': 0.0485504851305729}",20,0,25.72570292974218,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
302,False,"{'a': 0.3096129960558534, 'e': 0.048064980279267165}",25,7,-24.063004821555708,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
303,False,"{'a': 0.3095168660952949, 'e': 0.04758433047647449}",30,0,43.72931650991818,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.30942169743434195, 'e': 0.04710848717170975}",20,0,28.183934147313003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,False,"{'a': 0.3093274804599985, 'e': 0.04663740229999265}",35,0,51.37742416627068,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.30923420565539855, 'e': 0.04617102827699272}",30,11,24.784390455017,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.30914186359884455, 'e': 0.045709317994222794}",20,0,-13.593318409124247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
308,False,"{'a': 0.3090504449628561, 'e': 0.04525222481428057}",25,8,28.552727622702587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.30895994051322756, 'e': 0.04479970256613776}",25,0,30.66662400261761,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
310,False,"{'a': 0.30887034110809525, 'e': 0.04435170554047638}",30,16,18.15992146883047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
311,False,"{'a': 0.30878163769701433, 'e': 0.043908188485071616}",20,0,28.388433132500673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.3086938213200442, 'e': 0.0434691066002209}",20,6,24.471310691035058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.3086068831068437, 'e': 0.04303441553421869}",25,0,-4.235574363611627,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
314,False,"{'a': 0.30852081427577527, 'e': 0.0426040713788765}",25,20,8.206868506173542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.3084356061330175, 'e': 0.04217803066508773}",25,0,38.98696867939138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
316,False,"{'a': 0.30835125007168734, 'e': 0.04175625035843686}",20,0,15.152919693273947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.3082677375709705, 'e': 0.041338687854852486}",30,18,20.127635418316434,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.30818506019526076, 'e': 0.04092530097630396}",25,0,-5.833517783589621,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
319,False,"{'a': 0.30810320959330817, 'e': 0.040516047966540916}",20,16,7.910607632257504,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.3080221774973751, 'e': 0.04011088748687551}",20,0,30.446918934296573,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.30794195572240135, 'e': 0.03970977861200675}",20,6,15.440234853286814,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.30786253616517734, 'e': 0.03931268082588668}",20,0,-20.586185284536874,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
323,False,"{'a': 0.3077839108035256, 'e': 0.03891955401762781}",25,0,-6.858907480019831,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
324,False,"{'a': 0.3077060716954903, 'e': 0.03853035847745153}",35,13,23.395205567692734,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.3076290109785354, 'e': 0.03814505489267701}",25,0,-5.73928996799253,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
326,False,"{'a': 0.30755272086875, 'e': 0.03776360434375024}",20,0,17.87543943987796,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
327,False,"{'a': 0.30747719366006254, 'e': 0.03738596830031274}",20,0,16.3968442902704,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
328,False,"{'a': 0.3074024217234619, 'e': 0.03701210861730961}",30,4,20.396409213912655,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.3073283975062273, 'e': 0.03664198753113651}",20,0,19.354026969432546,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.307255113531165, 'e': 0.036275567655825146}",30,11,32.75818694318311,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.30718256239585334, 'e': 0.03591281197926689}",30,6,-6.2159648773807,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
332,False,"{'a': 0.3071107367718948, 'e': 0.035553683859474224}",20,5,22.869581509453223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.3070396294041759, 'e': 0.03519814702087948}",25,0,8.313454427566272,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
334,False,"{'a': 0.30696923311013413, 'e': 0.03484616555067068}",25,14,21.768640332565816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.3068995407790328, 'e': 0.034497703895163975}",20,0,-12.675512493652366,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
336,False,"{'a': 0.30683054537124244, 'e': 0.03415272685621234}",25,13,21.69553637548876,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.30676223991753004, 'e': 0.03381119958765021}",30,0,-0.8570816920129158,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.30669461751835475, 'e': 0.03347308759177371}",30,6,37.620293795290316,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.3066276713431712, 'e': 0.03313835671585597}",30,18,15.26450887872918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.30656139462973947, 'e': 0.03280697314869741}",35,12,37.37669916454428,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.3064957806834421, 'e': 0.032478903417210436}",20,6,24.974412309256348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.30643082287660767, 'e': 0.032154114383038335}",30,8,32.83519929993875,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.3063665146478416, 'e': 0.03183257323920795}",20,8,16.7822516464396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.30630284950136316, 'e': 0.03151424750681587}",30,3,31.96981186907954,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.30623982100634956, 'e': 0.03119910503174771}",25,6,29.84746653634935,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.306177422796286, 'e': 0.030887113981430233}",25,8,25.0637531260596,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.3061156485683232, 'e': 0.03057824284161593}",20,0,24.941968232223502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
348,False,"{'a': 0.30605449208263996, 'e': 0.03027246041319977}",25,0,33.42469305813122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
349,False,"{'a': 0.30599394716181355, 'e': 0.029969735809067772}",25,15,17.62790930892274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.3059340076901954, 'e': 0.029670038450977095}",25,8,16.992828286874243,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.30587466761329346, 'e': 0.029373338066467324}",20,1,28.4730399685319,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.30581592093716053, 'e': 0.02907960468580265}",20,9,19.33637553298319,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.3057577617277889, 'e': 0.028788808638944622}",25,0,39.53135432594254,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.30570018411051103, 'e': 0.028500920552555174}",25,12,19.748627175094065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.3056431822694059, 'e': 0.028215911347029624}",25,6,32.61905854562339,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.30558675044671185, 'e': 0.027933752233559327}",25,0,31.456003673693672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
357,False,"{'a': 0.30553088294224473, 'e': 0.027654414711223735}",30,18,-25.667595196059903,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
