trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.6629680834613705}",25,0,-57.7928802755863,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6596532430440636}",20,0,-87.37758435199346,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.6563549768288433}",30,0,-103.54719398565442,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.653073201944699}",20,1,-56.54261454023987,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.6498078359349755}",35,27,3.8089645901380402,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",20,0,-52.575408688923844,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",20,0,-52.340224975300714,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",20,0,-166.87957739623792,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",25,0,-95.13514322495317,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",25,0,-105.63914113609297,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",30,0,-123.88474301425514,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",25,0,-137.6708134129279,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",25,0,-56.14915015485363,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
